loss,accuracy,val_loss,val_accuracy,architecture,epoch,version,params,labels,timestamp
0.08773932605981827,0.9687429666519165,0.20862364768981934,0.9361510872840881,EfficientNetV2L,15,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.0805942565202713,0.9732403755187988,0.2117099016904831,0.9406474828720093,EfficientNetV2L,16,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.08438613265752792,0.9768382906913757,0.2281525731086731,0.9262589812278748,EfficientNetV2L,17,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.08444038778543472,0.9718911647796631,0.2811107635498047,0.923561155796051,EfficientNetV2L,18,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07513740658760071,0.9768382906913757,0.25643646717071533,0.9271582961082458,EfficientNetV2L,19,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.08112893998622894,0.9748144745826721,0.2178787738084793,0.9289568066596985,EfficientNetV2L,20,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07459595799446106,0.9770631790161133,0.2542407810688019,0.9244604110717773,EfficientNetV2L,21,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.08541809767484665,0.9732403755187988,0.24091511964797974,0.9325539469718933,EfficientNetV2L,22,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07249307632446289,0.9779626727104187,0.24847695231437683,0.9343525171279907,EfficientNetV2L,23,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.07085111737251282,0.9786372780799866,0.2470259666442871,0.935251772403717,EfficientNetV2L,24,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
